NR,LK,LKNR,04.01.2022,05.01.2022,06.01.2022,07.01.2022,08.01.2022,09.01.2022,10.01.2022
270,SK Oldenburg,3403,390,399,489,593,571,678,752
274,SK Osnabrück,3404,284,339,415,472,507,530,576
282,SK Passau,9262,66,73,104,126,131,155,166
286,SK Pforzheim,8231,463,444,446,415,404,388,362
288,SK Pirmasens,7317,57,67,59,71,90,104,104
290,SK Potsdam,12054,488,544,660,758,878,1006,1004
297,SK Regensburg,9362,290,326,381,393,482,536,585
299,SK Remscheid,5120,281,290,343,373,371,422,438
313,SK Rosenheim,9163,138,159,178,155,197,202,208
315,SK Rostock,13003,599,589,660,771,842,817,837
328,SK Salzgitter,3102,249,262,267,316,387,387,387
334,SK Schwabach,9565,71,72,76,82,92,91,97
339,SK Schweinfurt,9662,167,192,216,208,212,201,226
341,SK Schwerin,13004,162,222,246,262,271,308,306
346,SK Solingen,5122,485,554,683,766,778,778,778
349,SK Speyer,7318,105,104,118,117,145,188,180
358,SK Straubing,9263,61,71,87,100,97,105,119
360,SK Stuttgart,8111,1856,1862,1808,1314,1604,1727,1727
363,SK Suhl,16054,125,129,125,114,105,121,109
367,SK Trier,7211,174,204,263,334,392,413,416
373,SK Ulm,8421,238,253,310,340,344,418,434
389,SK Weiden i.d.OPf.,9363,61,50,64,71,79,85,97
391,SK Weimar,16055,228,231,199,187,189,220,201
399,SK Wiesbaden,6414,875,939,1073,1088,1150,1285,1333
400,SK Wilhelmshaven,3405,67,68,100,133,161,192,202
404,SK Wolfsburg,3103,266,264,244,273,359,389,343
405,SK Worms,7319,96,97,133,159,239,244,286
407,SK Wuppertal,5124,1251,1393,1593,1801,1947,2087,2105
408,SK Würzburg,9663,334,422,468,554,582,559,630
411,SK Zweibrücken,7320,64,66,75,61,71,77,77
1,StadtRegion Aachen,5334,1368,1385,1598,1892,1946,2163,2316
